姓名,评论内容
……嘛 也 不 是,你们那里路边可以摆摊还是好，我这里都不准
专业承包生产颗粒,这离10亿还差得远啊[笑哭]
念～,主要还是流量可以，普通人有点难！
阿林1355,下盐津来
生活乐事😊😊小林,进了5千多  卖的省一点点  才卖了4千多[捂脸][捂脸]  你这个说假了[奸笑][奸笑]
0112卿,把你的二维码整大个点，挂在车脑壳上
小益的生日10月8日,你的水果需要卖358天[笑哭]
月亮.美,估计除了本钱，赚两三千多
冰糖  雪李,@梦宇-🦋
小益的生日10月8日,你的水果需要卖358天[笑哭]
――，仅此而已（168）,能分30块今天这样
唐心果爱水果,8两称还是9两称[捂脸]
、那份情、,@⚜️.ㅤㅤ
匕首,[666][666][666][赞][赞][赞][赞][爱心][爱心][爱心][玫瑰][玫瑰][玫瑰][火][火][火][笑哭][笑哭][笑哭]
抚呦°,我猜你又要开始养水果鸡🐔了
暮晨,每次都要看两遍 都是笑着看完的[笑哭][笑哭][笑哭]感觉他们生意好 看着都高兴，我都觉得不可思议了[捂脸][捂脸]
鑫鑫9143,都知果我们这点就产的，特别的甜
被小美騙了5.2無🐋,[偷笑][偷笑][偷笑]
虎妈和【俩皮夹克】,我刚刚在我们楼下水果店买了小台芒9块钱一斤[大哭][大哭]
可中意莫,一个小时[爱你]
骚年。。。...,喂鸡[捂脸]
A.亲爱的路人,感觉我在追剧，快点更新下一期
我还是个宝宝💋💋,小菠萝是真便宜，水果店都是称斤卖[汗]
快手用户1677458651703,一个月13万
何甜心～,水果真心不贵
🐷27118,真心建议你们可以在车上挂个灯。我们这边都是这样的，给别人看的清楚，颜色也好看[龇牙]
2时代王大锤🔨,买一个月[奸笑]
x,看到超老板生意好，我们也跟着开心，加油[赞][赞][赞][赞][赞]
Y同学,我们这边一毛两毛都要收，真的格局打开啊
必杀技,快来了啊，等着你的啊
叶飞7965,二十天
许多年以后33961,别人都知道你发七十了，有点扣
扶摇,撞衫了[笑哭]
艳姗133,朋友们
紫玉4438,更新很勤嘛[笑哭]，祝生意兴隆超
蛇当官,@马码der
晚风吹过ob,[笑哭][笑哭][笑哭]
我就爱勤奋,卖了4430块，纯利润是多少？
ღ᭄ꦿ꯭ღ᭄ꦿ꯭八度ღ᭄,十天
石头剪子布,头发越来越整齐
闪亮的世界365,[666][火][火]
新旧货买卖，影云,分30[捂脸][捂脸][捂脸]
萬世泰平,两天
H💞1118,云贵川这边的一般几毛的零钱都不得收[笑哭]
徐哥88771,3天
晓晓宝贝很调皮😝ฅฅ*,小台芒才6块啊，我这13[汗]
白糖伴黄瓜,@男配角✌🏿️ 位置哪点[微笑][微笑][微笑]
刘数425,超哥要发财哦
👉平安🍎是福👈aa,我估计等一下会跟总监分30块[憨笑]
把秘密告诉ⁿⁱ和ᵏᵃⁱ,马上我来买
i是相互的基本,热乎的[奸笑]
小一一🎅很乖,总监肯定就分了30块钱多了没有
幸福安康55222,[赞][赞][赞][赞]很有经济头脑
有温度的冰块,没有我抢不到的前排
A一口,今天我生日能说一句生日快乐吗？
我叫 ＠张德帅,没有我抢不到的前排
批发雪糕      黄,城管来了@[捂脸]
与风说心事,喂鸡喂鸡
哈哈，goddess,[酷][酷]
流逝0998,天天守着你们的视频更新[偷笑][偷笑]
初遇 .女装,[赞][赞][赞]
.木白风.,[玫瑰]
为你砍条街.,前排
丹=⺆+亠,前排
Life、hao,11
丹=⺆+亠,超哥你又帅了好吧[爱你][爱你]
李梦738,刚刚
悲伤小魚💤,wc  我第一第一
当然可yi呀,第一
小红ufxwdrVw,前排
星：辰，,1
寻愛者.,哈哈
