姓名,评论内容
再等十年或者一辈子不结婚,我在外面买水果连两毛都收 你们太好了 优惠那么多[龇牙]
钱xu涛●,交警来了都不给面子[笑哭]
仙人掌wyy,[赞]
💤苏苏雄,在哪里卖呀咋是昭通牌
李润652,为什么你们是云南的说话怎么和四川一样啊
草莓😊 🍓,总监终于吃成烧烤了。
什么啦昂,又在给总监画圈圈[捂脸][捂脸]
ℳ₯㎕金三,天天画饼
淋雨.,@孤云鹤.🌈.
黑糖玛奇朵131,超老板是对总监扣，对顾客是没得说的大气
ᝰ小鑫鑫あ,@☞泽泽. @柚叶 买卖可以可以
闻香品茗7542,总监和烧烤渐行渐远了！离小目标得用光年作为单位量距了！[捂脸][捂脸][捂脸]
无名,[微笑]
璀璨,哇
美8212,多弄几个码，车身，车尾，侧方贴起[捂脸][捂脸][捂脸]
147亮哥,交警好帅[赞][赞][赞]
不想说话,但是[捂脸][捂脸][捂脸][捂脸]
要赚钱养小J🤟,还是城头有发展前途
‘お淡℃定シ,要想总监跑，必须要烧烤
葉哥,[赞][赞][赞][赞][捂脸]
团团,[玫瑰]
素颜,天这生意太火爆了，还招人不[笑哭]
✘其凡,超哥的饼吃不得，画得太大了[捂脸][捂脸]
蒙霏820,总监下次出摊记得也带上个码[捂脸]
快乐星球,交警来了都忙不赢招呼[笑哭][笑哭]
菲琳美业,我觉得给总监安排个妹儿
🍃“龙家三千金🍀,老大过分了[捂脸]要像熊二一样一样保护弟弟[捂脸][捂脸]
小光光681,[玫瑰]
拆快递的阿姨,哈哈 警察都来了
迷茫06680,和我没关系。看得我也想买点。
꧁꫞修҉☬罗҉꫞先꧂生e,交警来了还以为在打架 [捂脸][捂脸]
🌸妖妖,[玫瑰][玫瑰][玫瑰]
飘花,支持总监
谦之诚电竞,城管来了[捂脸]
「小十五」,超哥我来跟你混
历娜（成长路上）,我看着都激动了
历娜（成长路上）,这个生意不摆了。
王霞,[龇牙][龇牙][龇牙]
迎仔剪辑,来点真实的不行不行，那个女的要了二斤青枣，称完了放一边可，拿个二维码扫完码东西也不给人家放到箱子里了。
七 年╭（╯ε╰）╮,[呆住]
A00080后乐山烧烤小李,总监，烧烤吃着了吗？
。03560,小马把把给总监安排起
、67260,现如今社会最不能相信的就是老板啊！
向日葵丽丽384,[赞]
墨痕&099,[笑哭]
没有心就不会受伤,好多人说要给总监安排个媳妇[捂脸]
林小哥天麻种植户,我来人都跑了[捂脸]
漆鹤,码多整几个嘛，争取把车贴满[奸笑][奸笑]
重来,算错了是91
这个城市夜太美,[火]
仙  宝❣️,好多人啊[红脸蛋]
郭强6979,城管来了[龇牙]
长大买川崎,是县城人多点
小章吉❗️,@~懒得讲 这个好笑[捂脸]
🐾肉🐾多多🐾,穿红衣上镜那个好像铁锤
ω✪仰望星空,利润都是翻倍的
-国民女友.🤡,多整两个码嘛[捂脸]省得挣过来抢过去的[捂脸]码码码
椛開終落敗,，
。《官 人》。,想不发财都难[旋转]
A是霜,我好奇总监到底吃到烧烤没有
老铁民谣,到哪里请的演员啊多少钱一位
心あ劫り,说实话，你这生意可以
农民的龙,没有说朋友们拜拜[捂脸]
牛哥0575,给总监安排个美女，
＠社会摇,还在彝良卖没有我也来买点[奸笑]
大发：,交警来了
以幻为乐,害我钱都没付
洪哥.n,[捂脸][捂脸][捂脸]
啊邹2,再这样发视频我就来跟你们抢生意了哦
_ _詼S`e,23的25    58    [赞][赞][赞][赞]
_ _詼S`e,有营业执照吗，老表城管来了，快跑
偏爱.0116,天天给总监画大饼[捂脸][捂脸]
九玖む,必须安排
回忆🌟曲目,会不会有人混水摸鱼？
求求别打小鸣我儿,@冬季书写浪漫
檬宝,烧烤拍出来[笑哭]
尘埃落定95959,我坐等总监有没有吃烧烤[捂脸][捂脸]
A雕…,@你奈我何🔥 @＠喜民🌴 @嘻俊俊 [笑哭][笑哭]
炎热的夏天...!,吃烧烤一起拍起走嘛[赞][赞]
贝贝12974,又开始画大饼了
平淡的生活我陪你,一声哥哥，心都甜化了[捂脸]
👉任家小妞,总监，一人发一个试吃，这样清仓比较快[捂脸]
大写的字^O^,你们哪就你一个卖水果的？
＠元 元,他的眼睛有光了[偷笑][偷笑][偷笑]
林姐手工仿,在哪里卖
英 姐姐😻,你们拿一个人在车上上面称！看人的时候也容易看得到！这样就没有那么乱了！
一切随缘19887,这是在哪里卖，我明天也来买
昆     昆,你们哪就你一个卖水果的？
美,[赞]
AA....弄错了结局,烧烤
&小霸哥￥🙄🙄,别人摆摊就是摆摊、你兄弟两个生生把摆摊拍成了连续剧[捂脸]
ˢ勇,@🔋从心开始…
の夏妍ᵇᵃᵇʸ🌷,建议放一个播报音响
邱邱,[赞]
甜甜的小😊可爱,[龇牙]
十五岁的你,@蒜苗 @今粛 @╰゜宝藏女孩づ. @＠ ˃̣̣̥᷄ @yang.
蒲公英42453,那么多人逛街，我们这没那么多人闲逛的[赞][赞][赞][赞]
聆听枫声,[笑哭][笑哭][笑哭]
，74162,给总监安排弟妹
无情指间,网红效应啊
语迟终显富，步紧必贫穷,这不挣大发了
农村疯狂小飞哥（909）,生意好
75875811111,交警都来了[笑哭][笑哭][笑哭]交通堵塞了[奸笑][奸笑][奸笑]
゛艾陌。（素人文案）,我要把收钱码贴超车上
宇文家族666,超扣扣请问总监烧烤整了几串[捂脸][捂脸][捂脸]
潇湘子,多搞几个码不行吗
哈利8084,请的人吧每次买水果，就围着你转啊[生气]
（美食，药材）,我要去卖水果去了
最紧要浪 🌊,给总监安排个榴莲壳壳
播种，收拢,就爱看总监
中意你丫♥,少卖一点泰国小菠萝，全市科技[奸笑]
够好/：,@꧁༺洪༒少i༻꧂ ，合作来，[捂脸][捂脸]，
小泽泽968,不要又是一串烤面筋[捂脸][捂脸]
“咖啡那有生活苦”,@NlKE.。。
小～雄🍁呐,@・妳尢失约了・
想牵tA的手,云C
/-91,@万事胜意.
向沫为丽,[龇牙][龇牙][龇牙][龇牙]吃个大餐
深山里的大叔哦,总监的烧烤吃成了没有[捂脸]
清枫柳198,我都想买
一路纷芳,烧烤安排起
云想衣裳花想容1196,我都担心你们这么多人你们收不到钱，有人吃趴和不给钱就溜了[捂脸]
久盼君归、,哈哈哈哈哈哈哈
万事皆缘302,交警来了
波波08164,[玫瑰][玫瑰][玫瑰]
开水烫红牛.🌊,给还招人[笑哭]@小角色 .  .
清枫柳198,[色][色][色]
张雷8296,水果买的比店里便宜？这么多人抢
伽洲ᴸ,越走越远
6zhang🌆,@拉塞尔·威斯布鲁克， @kk有个v 去卖水果算求咯[笑哭][笑哭][笑哭]
冰🧊,好火爆
小毛已有小余,又来了，我马上来
.-/Σ,@从小就帅.
一路我跟着风,看了半年，总监终于吃到烧烤了！
💞ღ᭄封ꦿ꯭ঞ心ღ᭄,直接开店[比心]
丫口低保户,一个烧烤有什么啊
甘蔗是苦的😭,箱箱没卖脱不算买完[奸笑]
￥ 自醒,交警都无奈了
紫晨  影视,那问题来了，到底安排没安排[捂脸]
黄山7743,超老板，太会忽悠了[捂脸][捂脸][捂脸]
佛教仙生小敖🙏🙏🙏,太抠了，总监要是把这一车水果卖过去的话，你不应该只请他吃这个烧烤，你应该请他下一顿馆子啊，而且是吃好的那一种
矢 &,"几毛几毛的零头不要，买了那么久这些加起来来还是活好多钱咯，建议给现金的有零头优惠，扫码的就该多少就多少咯[爱你]
不要喷我"
桃子汽水🍑,[捂脸][捂脸][捂脸]
三胎爱我,[火]
完美的梦310,芒果，我们这最便宜也10块[笑哭]
稳中向上,搞快招人
月亮上的兔✨,能不能发个请总监请吃烧烤的视频
小傅，农村养羊小伙,我觉得你开个水果店会火爆
②苏苏,烧烤总监
期待幸运839,码多整几个嘛
允我心安！,不得了这生意
《四方客》,这啥地方这些人这么有钱。
A001💪829（林）,下次多整几个码
一颗小虎 牙,我怀疑你称有问题，好多都是几块9，10几块9，20几块9，然后优惠那9毛[柴犬][柴犬]
A し林つ波,又在画大饼了[捂脸][捂脸][捂脸][捂脸]
周 love kk,我搞一车袄甘来我们合作[666]
ㅤ  ㅤ_7,@伊利安慕希
yangling,面筋三串
开心了不起。[嘿哈] ⁶⁶⁶,围了一两圈人？你们那里是没人卖水果？只有你一家？
老子《凡人》,又是面筋一串？
一天啥事都难搞,牛逼
王小妹（零学习）,安排起
稳中向上,人多的时候注意三只手
青青52593,这抹零有点狠啊，9角都抹掉[赞]
冬月琴,吃烧烤的时候能不能发视频
山边395,[赞]
九妹,生意那么好，怕只有你家卖水果哦
ωǒ叫多余,提个意见，总监和超老板应该再一人挂个收款码
洛溪美妞,我感觉你俩该分工明确，一个称，一个装看付款图，不然可能会逃单[笑哭][笑哭]
奇迹,又在画大饼[笑哭]
林七月🌙_,削芒果的时候刀还是闭着人一点，不怕一万就怕万一
🌷 婷儿^O^🌷,我都想买了
哈喽,@[赞]
＠单亲爸爸！,吃烧烤的时候能不能发视频
重庆勇哥《加油努力》,[666][666][666]
洋芋957,大青芒哪儿搞得货，还可以卖六块[微笑]
爱皆失,上镜头了
"淡忘""诠释着殇",[666][666][666]
玖拾（M）,我们这边的青枣俩块五我都觉得贵[捂脸][捂脸]
川97117,城管不来吗
☞黑暗下的悲伤,一串烤面筋[柴犬][柴犬]
肖秋,发一个吃烧烤的视频证明一下超老板没有忽悠总监[捂脸]
Bob2817,感觉像群演[捂脸]
烧包谷哒,城管呢[龇牙]
面具小丑（洗牌）,是在彝良还在在哪里
你叫什莫名字,必须安排
晨曦11503，,[玫瑰][玫瑰][玫瑰]
晨曦11503，,[赞][赞][赞]
｀C。,天天画饼
嘉贝,用两个称
＠欢  浣,放两个秤
叮叮啷啷小贤,大画家
あ小小康,沾单山辣子面不好喽
辛    ⭕️,开播
薇薇一笑,把码印在车身上嘛
泽🇨🇳,@尤咏慈 @爱皆失 [流鼻血][流鼻血]
周周（同学）,是西装甩尖子皮鞋安排上
大家关注，我也关注,[666][666][666]
茜西，,超哥最厉害[赞][赞][赞]
阡陌红尘有你有缘,预感超哥今年要大发一把[玫瑰][玫瑰]
老广 ☞,31.9不是要扫32吗[笑哭]我这边市场里都是这样算的，凑个整数[捂脸]
户外☞龙泉,看起来今年的小目标不成问题[奸笑]
🐯桃花谢了，有玫瑰🌹,安排云南的牛瘪火锅
~潘潘呀！🍒,在哪里卖，我要来买
你若盛开，蝴蝶自来002,感觉有人没有付款就走了
听说制作,会不会飘
＠赵平,老板你忙不过来，还要招人不[捂脸][捂脸][捂脸][捂脸]
流逝0998,总监[赞][赞][赞][赞][赞]
辉辉44457,[偷笑][偷笑][偷笑]
盼盼门业,聚众  跟我回局里一下
💪FITING☀,城管来了[捂脸][捂脸][捂脸]
你与清风皆过客,忙不过来了，，
小阿福啦,18块九收19
默写牵挂之情感语录,招总监记得问人家要喂好的，要不你的饼吃了怕不消化[捂脸][捂脸][捂脸]
80后标配6米八卡车司机,都是想看网红
哎哟哟（๑• . •๑）,总监这个烧烤难得得吃[捂脸]
段言东,我严重怀疑这是总监请的群众演员
为梦努力,城管来了
挚爱、一泩,你要发请总监的视屏嘛 @大山里的超超
＠壹玮❤️,，
给我比赞的人祝你全家安康,了
孤独，冷！,生意越来越好[赞]
7CM潮装买手店,还招人不？
给我比赞的人祝你全家安康,城管来
清清,[666][666]
秒了就跑,吃票子了
快手用户1672664466146,温馨提示:用刀的时候注意傍边的人，勿喷
苗狼,不得不佩服，你们的生意是真的好[赞][赞]
不想l你别去,安排起
佛度小生,建议下次刀不要对着人用，亲眼看到过意外。
冉佳.,请把吃烧烤的过程记录下来
兰因絮结,感觉后面好像拖一样在哪站着[笑哭]
马拉天,啥时候买鱼呢
小怡妹儿☆,[火][火][火][火]
微笑着、心～碎,还是总监的笑够意思
爱你冶（๑•̀ㅂ•́）ﾉ,[捂脸][捂脸][捂脸]
放牛哥51399,这次再不安排烧烤，下个作品我一定要喷你[捂脸]
＠疯狂小杨迷,还招人吗，我开车打杂啥都会干
不知道72861,总监应该待货兜里
淡淡的悲伤192,超扣扣果然不是用话说出的
三分热度 、  、,在哪里卖，我过来上个镜[柴犬]
蒙自立白张仁礼,烧烤怕是黄了哦？
花花就是我哇,码多搞两个呗！毕竟是大公司
ᝰ生活嘛笑一笑就好了,城管来了
浅夏ღ柒汐,每次都给总监画大饼
蛇当官,@马码der
李家大小姐（米粒儿寿司）,我也开始摆摊了，这个季节真的超级爽[酷]
可爱小朋友xi,水果真便宜
微微一笑！,选址很重要[赞]
汤总～小汤圆,那个城，我要去请总监吃烧烤，
余一生，念一世,镇雄吗？
喜欢薛之谦五年了,要是在哪里？我要去买
念旧的时候,纵使超老板虐总监千百变，总监仍然对超老板笑脸相迎[笑哭]
单身汉老三,这几个演员咋那么眼熟[捂脸][捂脸][捂脸]
榴莲忘返！,你俩是这条街最亮的仔[赞][赞]
Just do it,今天的生意是最好的一天[赞][赞][赞]
一诺梓言,[火]
誓爱情如烈火,警察还以为你们吵架呢[笑哭][笑哭][笑哭]
云淡风轻19777,你们是四川哪里卖
（J a y.）,超哥的确凶，交警来了还请别个吃芒果[捂脸]
强仔,生意太好，佛菠萝都来买了吗[笑哭][笑哭]
小杨神,欧克欧克
暮晨,这种生意怕有的钱都没有付就拿着走咯[捂脸][捂脸][捂脸]
👉平安🍎是福👈aa,总监！我感觉超哥又在给你画大饼了[憨笑]
冯续燕159287902,[赞]
你🐎开裆裤大哥,这地摊是不是彝良
～委屈讲给谁听～,前排
车神5973,又画画饼
何姝颖,昭通彝良县是我去过所有县城里面物价最高的！
快手用户1631766514969,大山里的超超，可以改成大山里的超扣扣了
＠运=^0^,给总监发工资
李斌99599,看你忙的   交警都不好意思说你了[捂脸][捂脸]
心灵善良张志苹,[赞][赞][赞][赞]给总监点赞
.Amor、安于命,总监出来说一下吃到烧烤没有[龇牙]
娟涵妮111,你们的青枣好便宜我们这卖12一斤吃不起哦[捂脸]
随心所欲80562,一人给一斤品尝 十分钟清仓[奸笑][奸笑]
罗文辉,[笑哭][笑哭][笑哭]还没有烧烤支持总监辞职
奈何桥上我掐死你,超扣扣迟早会变超忽悠
￥1亿亿,我在想有些人直接走了，钱都没有给
人生没有后悔药吃2021,总监烧烤吃的咋样，满意不
蓝天白云21069,边上有人抓起直接放口袋走了没称[笑哭]
铭望佳缘,祝生意红红火火！[火][火][火]
ℒℴѵℯ·张·ꦿ໊ོ,[火]
🌿🍁,不要天天画饼，要实现
车N次方,烧烤就是总监的动力[捂脸][捂脸][捂脸]
菩提树下有只狐,天南海北就喜欢你发视频
秌~秋,码太少了。
习惯了一个人哭泣1,[666][666][666]
＠辉辉妈,我觉得你生意好，都是为了上镜[捂脸]
💋丽子💎,画饼超[捂脸]
🍀爱晴天＠,第一
王世喜,吃烧烤为什么不拍视频
丿大山灬表,交警都来了[笑哭][笑哭][笑哭]交通堵塞了[奸笑][奸笑][奸笑]
墙纸墙布施工,应该安排
小红ufxwdrVw,[666][666][666][666][666][666][666][666]
活死人34,单数赔本，双数不挣钱
龚一乐,[赞][赞][赞]
绪平邹,[玫瑰][玫瑰]
User_1622805595664,警察叔叔要买菠萝都不安排安排
球球妈咪123456,[赞][赞][赞][赞]
👉也曾温柔过❤,超哥，你应该改名：又是成功给总监画大饼的一天！
听雨,我支持总监，没有总监的出演，这段子真没意思
纯情男高~.~,男神啊
未来我能116,烧烤是啥样的啊
南风,前排 前排 [捂脸]太忙了
心帝2157     ①,支持
渝川杨杨子,哈哈哈
我besos223,超哥，你应该改名：又是成功给总监画大饼的一天！
;pink.,刚刚
努力的80后,安排起
吾皇618,六块还不贵吗？
小彝良｡（520💋）,可惜没在[笑哭]
玉 兔捣药,这算前排呀！[笑哭]
幸🌿运🌿叶🌿,[赞][赞]
“羊”村长,烧烤
有空再见一面叭,有是画大饼的一天[奸笑]
এ᭄倾听风意ོꦿృ༊,我也想火[微笑]
那片海,给总监安排个媳妇嘛
墨染,说到要做到啊
gokslk,晚上又得跑路[奸笑]
酒亦画中仙,第一个赞[奸笑]
莉莉柯琳,111
✨四月℡,今晚一定会卖完
布.小七,[赞]
✨四月℡,刚刚
