姓名,评论内容
念莎♥想磊,70块钱，就被收买了[捂脸][捂脸]我给你700，你给我做，收垃圾[笑哭][笑哭]
罗二娃👿👿👿👿,摄影师在这里[捂脸]
Just do it,1300分70块钱[捂脸][捂脸][捂脸]
繁星✨%,@亮   颖 [笑哭][笑哭]我们公司好久开会安？[笑哭][笑哭]
七秒ジ∕梦﹍,字写得都还安逸[鄙视][鄙视]
潇洒哥50167,画饼时别忘了画肉
回忆也不可能再重来,总监，被套路了[捂脸]
惊蛰、……,超老板还会玩伏笔[奸笑]
Mr王小姐°,超超扣  你好久在市区买房子了
小李有止渴糖江,请问总监，这水果味的饼好吃吗[捂脸]
只粘花不惹草730,画饼老板
宇哥家拉布拉多   奔奔,超扣扣你重新定义的所谓的三七分[笑哭][奸笑][奸笑]
车神5973,画饼充饥
唐心果爱水果,你几算错了，拍视频没利润吗？至少一个视频2000
L-bro,[捂脸][捂脸][捂脸]
台州电摩改装配件,画饼还要看超超[笑哭]
✘其凡,不能叫超哥了，该叫豁哥[捂脸][捂脸][捂脸]
冉冉🌻🌻爱生活,原来我们老板就是这样给我们画饼的[捂脸]
啊明,你们家老三安？
☞╭（╯ε╰）╮钰☜,我怀疑超扣扣是缅甸派来的…[奸笑]
四川、{老表},35一天
明月,意思是，作为一个股东，只知分红 不知投入吗？ 既然都股东了，上一车水果都分红了 那么上一车水果的成本是不是应该跟总监三七摊喃？ 你这老板要干亏！
小三丶始终玩的都是剩货777,你先发一个我们看看[笑哭][笑哭][笑哭][笑哭]
军👑哥哥520,商业机密都发出来了[捂脸]
包青天执法。,一改人的公司，也开会[擦鼻涕][擦鼻涕][擦鼻涕]
妖妖呀呀,牙克石市
＠风好哒,总监赶紧去找个地方打螺丝吧，你在这个公司干，娶不到媳妇儿
w15287036379,分的七十块，还高兴的一批
别错过我la,员工忠心耿耿，老板又豁又整[笑哭]
别在等了,主播 昨天我看见你了
梅梅55957,趋势[火][火][火][赞][赞][赞]
星空灯工厂店,超抠抠，
拼命三狼333,买水果的来聊聊，这是真的吗？
悟   图,原来三七分是这样的呀[捂脸][捂脸][捂脸]
（*^.^*） 殇璃,我就知道  又是画饼的一天[捂脸][捂脸]
玉源,字写的不错
w181003,[赞]
紫薇花0509,工作好几年，存款70元[捂脸]
可乐少喝一点,两天七十一天三十五，[龇牙][龇牙][龇牙][龇牙][龇牙][龇牙][龇牙]
兰57066,七十也是七
自由的蝴蝶,[赞]
怼人（扛把子）,我就晓得七十[捂脸][捂脸][捂脸]
დ᭄ꦿ沉沫꧔ꦿ℘⸙,画大饼把总监的给画蒙了[笑哭][笑哭]
A雅居装饰957,人家靠发视频赚钱
沉沦『情感语录』,算错了吧，1551才对
兰因絮结,总监还是有点文化水平的
kla＠最帅K5,天菩萨阿，纯利润1370，总监才得70块[捂脸]
人生大道理 ，,水果润丽一般情况下是半对半
释然，回眸一笑百媚生,干了那么多天只得70块钱
改战区,摄影师在旁边是怎么憋得住的？[笑哭][笑哭]
＠＠＠🛻🦯🛵🛴…,老三呢[奸笑]
茄子拌饭、,@二根芹菜
遇见是一种缘分！,[赞][赞][赞]
时光安好692,我还是太单纯了，居然又没猜到结尾[捂脸]
鸭绿江海哥,水果利润很高的，之少对半！这个太假
是李爱的杨,我的天哎，这玩意不得了
SC花无鹊,1300的70[生气]
💤🌀🌀陶凡🌀🌀,大家安静听老板说[笑哭]
美娜呵呵,画大饼的老板[捂脸][捂脸]
风~,有这样的兄弟大哥不发财都对不起兄弟的智商[捂脸]
盲king（寄树选手）,总监，烧烤安排没有[捂脸]
你别来我无恙,好神
点点？！？,超扣扣[赞]
独0152,最后两句发言才是真的吧
李幺妹吉根莫,利润1549  分了70 自己觉得已经很好了   所以吧心态放好 比什么都强
华山,兄弟太不值钱了
吾皇618,这么多车，水果才1000块。我还是打工去了。
小怡妹儿☆,[爱心][爱心][爱心]
小心,@[赞]
.YANGKUN,我家也是卖水果的，说实话，5000块的货最起码要卖9000[捂脸]
二猴子的姨妈,高级pua，先自己兄弟下手[笑哭][笑哭][笑哭][笑哭]超老板厉害
おZKY爱CYMぇ,@2022⒌ ，哈哈[捂脸]
小静子332,终于发了70块钱了[捂脸][捂脸]
星星之火燃烧着你我,[笑哭][笑哭]
故人*归✨,[捂脸]
+13986635,又在画大饼[捂脸][捂脸][捂脸]
晏 藜,[赞]
小小张✌,70块钱应该是小费[笑哭]
张城是憨包💒,心肌梗塞都来了[捂脸][捂脸][捂脸]
王小妹（零学习）,工资到底好多[捂脸]
小刘爱剪辑,这个视频还没看完就涨了200赞了[笑哭]
盼盼（潘潘）小面包,70块钱不是百分之五不到嘛？
༼意༼྅难༼平྅,我只想笑    哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
罗文辉,[捂脸][捂脸][捂脸][捂脸]超扣扣一个
龙/¥ ,717赞记录一下
Govec .,老三呢？[笑哭][笑哭]
Mr.Li8999,都是段子
heHEAN,饼王超
云淡风轻,[奸笑][奸笑]
东鹏洁具何梅19923625068,画饼大会，超扣扣最会画大饼
小岩岩933,1300➗3➗2=216.6666[捂脸][捂脸]
既孤独,什么叫请大家安静，明明这里就有两个人，还有谁？[笑哭]
..-。。。。..。.,可以可以，超老板要不要去产地发点货[奸笑]
挖机的小王,照这样发展 总监迟早是单身的事儿
广东商人828,总监兼员工[龇牙]工资却是普通工资
剑神李淳罡，,声音都喊哑了
信好你韩在！,公司一共2人[奸笑]
👿牧夏清风,画大饼[老司机]
雪宝超软超可爱,太惊喜了哈
05的平💗,70块钱把它收买了[捂脸][捂脸]
水玲珑,[捂脸][捂脸]
几分从前（LaYan）,[笑哭][笑哭][笑哭]
U.NI QUE,所以我赶上前排了[笑哭]
爱笑的节奏,又被忽悠了
初与久歌12,这老板给员工画饼真大
＠~温柔耀🍃,小菜也要买点
江棪金,[赞]
ㅤㅤㅤ,加油[赞]
三珍,[捂脸][捂脸]
＠ 小馬同学,工资又泡汤了[捂脸][捂脸][捂脸]
习惯22095,下车水果可能就是2-8分了，正经得[奸笑][奸笑]
꧁꫞꯭梦醒终是痛꯭꫞꧂,70块钱就把别个打发了，还有什么红分
涂  涂  图 图,又被忽悠了[捂脸]
川南兄弟-,像超超学习[龇牙][龇牙]
“文案馆“,心肌梗塞
纵世晓,这样的老板像不像以前的地主 好好干今年给你说个嫂子[笑哭][笑哭][笑哭]
隔夜晚安..·,有点水平，但是不高
最美不过初相见7284,[鼓掌][鼓掌][鼓掌][鼓掌][鼓掌]
95已经不容易,挖坑跳进去
ai 桃  子,超起抠脚了
贱尤里,又开始画大饼子了超老板
刘涛72202,牛逼克拉斯
主攻手，,111111111[赞]
九玖む,股东都看不下去了[捂脸][鼓掌]
大学森,[666][666][666]
⋆᭄͡ꦿ໌້俗ꦿꦿ໌,超老板！一天会豁人的很[笑哭]！
粉色烧烤,第十三来了  会不会赞我一下
火鸡Mr.Lin,上调多少先不说，能不能先把工资发了[龇牙]
扯蛋的人生998,开倒闭公司还差不多
八十万禁军教头.,还是超老板好耍[龇牙]
鹅嚼锅海峰,好像从来没有听说你给总监发工资啊[奸笑][奸笑]
小阮全国货运,[赞]
🍀爱晴天＠,第一
焓宝日常,又开始画大饼了[捂脸][捂脸][捂脸]
贵州小瑶锅🔥,第二
第十八年秋.,刚刚
嘿呦呦呦鹿,[666]
仨千,第二
晨涵💝若 曦,第一[玫瑰]
