fullname,address,code,name_province,cid_province,name_city,cid_city,phone_seal,phone_service,lat,lng,region
广汽埃安运城北郊万达展示中心,运城市盐湖区禹西路与铺安街交叉口（运城万达）,SXM3000-1,山西省,140000,运城市,140800,,,35.049293,111.035139,华北二区
广汽埃安运城诺维兰汽车城展示中心,山西省运城市盐湖区工业园区南风大道三号,SXM3000,山西省,140000,运城市,140800,0359-2588559,0359-8594222,35.122295,110.957464,华北二区
广汽埃安临汾尧都体验中心,山西省临汾市尧都区尧庙镇金井村一号南200米,SXL0100,山西省,140000,临汾市,141000,3572311115,3572311115,36.025424,111.482901,华北二区
广汽埃安呼和浩特玉泉体验中心,内蒙古自治区呼和浩特玉泉区南二环快速路辅路紫维汽车园西段3号,NMA0100,内蒙古自治区,150000,呼和浩特市,150100,0471-3379988,0471-3320088,40.777520,111.605007,华北一区
广汽埃安包头开发区体验中心,内蒙古自治区包头市包头稀土高新技术产业开发区稀土路4号恒通汽车城第1排2号,NMB0100,内蒙古自治区,150000,包头市,150200,0472-5354578,0472-7155596,40.636432,109.891029,华北二区
广汽埃安赤峰红山体验中心,内蒙古自治区赤峰市红山区桥北镇姚家洼居委会红山物流园区（火花北路108号）,NMD0100,内蒙古自治区,150000,赤峰市,150400,0476-8883777,0476-8781116,42.326179,118.940207,华北二区
广汽埃安鄂尔多斯东胜体验中心,内蒙古自治区鄂尔多斯市东胜区铜川汽车博览园安居街 7-5 号,NMK0100,内蒙古自治区,150000,鄂尔多斯市,150600,0477-2231888,0477-2783683,39.792324,110.125132,华北二区
广汽埃安沈阳北二路展示中心,沈阳市铁西区北二中路13号,LNA3100,辽宁省,210000,沈阳市,210100,024-25908800,024-25908800,41.815042,123.377732,华北一区
广汽埃安全运万达展示中心,沈阳市浑南区全运路万达广场1层-1010,LNA3100-1,辽宁省,210000,沈阳市,210100,024-67966878,024-67966878,41.741483,123.465664,华北一区
广汽埃安沈阳北二路奥体万达展示中心,沈阳市浑南区营盘西街17号（浑南奥体万达）,LNA3100-2,辽宁省,210000,沈阳市,210100,15102495199,,41.741483,123.465664,华北二区
广汽埃安沈阳金山路体验中心,沈阳市皇姑区金山路83号,LNA0200,辽宁省,210000,沈阳市,210100,,,41.857824,123.459349,华北二区
广汽埃安沈阳东陵路体验中心,沈阳市沈河区东陵路14号,LNA0100,辽宁省,210000,沈阳市,210100,024-88439777,024-28412603,41.818802,123.530514,华北一区
广汽埃安大连华北路凯德和平展示中心,大连市沙河口区高尔基路695号（凯德和平广场）,LNB3000-1,辽宁省,210000,大连市,210200,,,38.902877,121.594482,华北一区
广汽埃安大连华北路展示中心,大连市甘井子区华北路293号-1,LNB3000,辽宁省,210000,大连市,210200,0411-86575555,0411-86575555,38.995136,121.576016,华北大区
广汽埃安大连甘井子体验中心,辽宁省大连市甘井子区华东路215号－3,LNB0100,辽宁省,210000,大连市,210200,0411-86715888,0411-86715888,39.007250,121.597820,华北一区
广汽埃安鞍山千山西路展示中心,鞍山市千山西路51号,LNC3000,辽宁省,210000,鞍山市,210300,0412-6960000,0412-6960000,41.129777,122.977168,华北大区
广汽埃安丹东振兴体验中心,辽宁省丹东市振兴区花园路49号,LNF3000,辽宁省,210000,丹东市,210600,0415-6224777,0415-3963111,40.127988,124.355306,华北一区
广汽埃安盘锦兴隆台万达展示中心,盘锦市兴隆台区双兴南路71号（万达广场）,LNL3000-1,辽宁省,210000,盘锦市,211100,,,41.106458,122.083201,华北一区
广汽埃安盘锦兴隆台展示中心,辽宁省盘锦市赵家经济开发区石油高新技术产业园1-17-107,LNL3000,辽宁省,210000,盘锦市,211100,0427-6612345,0427-6682516,41.158642,122.049374,华北大区
广汽埃安铁岭银州体验中心,铁岭市铁岭县102国道西辽海加油站附近,LNM0100,辽宁省,210000,铁岭市,211200,,,42.243803,123.802096,华北二区
广汽埃安朝阳龙城体验中心,辽宁省朝阳市龙城区中山大街五段159号广汽埃安体验中心,LNN0100,辽宁省,210000,朝阳市,211300,18009833388,0421-2628889,41.554558,120.379894,华北二区
广汽埃安长春高新体验中心,吉林省长春市高新开发区蔚山路新兴红旗嘉园C14-104室,JLA0100,吉林省,220000,长春市,220100,0431-85198111,0431-81874555,43.824746,125.248939,华北一区
广汽埃安长春春城体验中心,长春市绿园区普阳街58号长春市文教锅炉厂产权楼104号厂房,JLA0200,吉林省,220000,长春市,220100,0431-88519000,0431-88519111,43.882622,125.283098,华北二区
广汽埃安上海青浦万达展示中心,上海市青浦区淀山湖大道851号,SHA0600-5,上海市,310000,上海市,310100,021-59200167,021-59200177,31.139676,121.088205,华东大区
广汽埃安上海松卫青浦吾悦展示中心,上海市青浦区淀山湖大道218号（青浦吾悦）,SHA0130-1,上海市,310000,上海市,310100,,,31.150622,121.101782,华东大区
广汽埃安上海宁桥绿地缤纷城展示中心,上海市青浦区外青松公路5999号（绿地缤纷城）,SHA0140-1,上海市,310000,上海市,310100,,,31.159648,121.125562,华东大区
广汽埃安上海崧华体验中心,上海市青浦区崧华路688号,SHA0220,上海市,310000,上海市,310100,,,31.167684,121.176665,华东大区
广汽埃安上海吉恒开元新天地展示中心,上海市松江区新松江路927弄（开元新天地）,SHA0120-3,上海市,310000,上海市,310100,,,31.047499,121.216966,华东大区
广汽埃安上海青浦体验中心, 上海市青浦区嘉松中路799弄26号,SHA0600,上海市,310000,上海市,310100,021-59200167,021-59200177,31.253820,121.220134,华东大区
广汽埃安上海劲立松江万达展示中心,上海市松江区广富林路658号（松江万达）,SHA0600-8,上海市,310000,上海市,310100,021-57181608,021-57187738,31.063144,121.249676,华东大区
广汽埃安上海嘉定体验中心,上海市嘉定区沪宜公路4491号10幢,SHA0190,上海市,310000,上海市,310100,,,31.374874,121.233746,华东大区
广汽埃安上海奥莱体验中心,上海市青浦区沪青平公路2599号A栋101室,SHA0120,上海市,310000,上海市,310100,021-59241190,021-59241190,31.157543,121.249269,华东大区
广汽埃安上海松卫体验中心,上海市松江区江田东路259号10幢B区,SHA0130,上海市,310000,上海市,310100,021-67720551,021-67720299,31.030940,121.268511,华东大区
广汽埃安上海吉鸿嘉定大融城展示中心,上海市嘉定区宝安公路3386号（嘉定大融城）,SHA0120-5,上海市,310000,上海市,310100,,,31.336396,121.286412,华东大区
广汽埃安上海晋熙手拉手展示中心,上海市松江区九干公路50号手拉手汽车港,SHA0900-5,上海市,310000,上海市,310100,,,31.133128,121.304869,华东大区
广汽埃安上海劲立金沙江西路展示中心,上海市嘉定区金沙江西路2600号,SHA0600-11,上海市,310000,上海市,310100,,,31.248159,121.311120,华东大区
广汽埃安上海沪松体验中心,上海市松江区九亭镇沪松公路1197号3幢,SHA0210,上海市,310000,上海市,310100,57800681,57800682,31.149847,121.334977,华东大区
广汽埃安上海金山体验中心,上海市金山区亭卫公路2011号,SHA0230,上海市,310000,上海市,310100,,,30.779715,121.364481,华东大区
广汽埃安上海虹桥展示中心,上海市闵行区沪青平公路415-433号,SHA3000,上海市,310000,上海市,310100,021-33581833,021-33581877,31.181892,121.351297,华东大区
广汽埃安上海闵行体验中心,上海市闵行区黎安路1399弄22号,SHA0400,上海市,310000,上海市,310100,400-861-7988,400-861-7988,31.125363,121.358744,华东大区
广汽埃安上海普陀体验中心, 上海市普陀区金昌路1858号,SHA0500,上海市,310000,上海市,310100,021-57529922,021-57523377,31.281833,121.350176,华东大区
广汽埃安上海浦东御桥路七宝宝龙商超展示中心,上海市漕宝路3299号七宝宝龙城S5号楼一层M-S5-F1-003-1号商铺（宝龙城）,SHA0160-1,上海市,310000,上海市,310100,,,31.164415,121.360967,华东大区
广汽埃安上海闵行马桥万达,上海市闵行区马桥镇富岩路121号1021,SHA0600-6,上海市,310000,上海市,310100,021-59200167,021-59202177,31.029517,121.380019,华东大区
广汽埃安上海月罗体验中心,上海市宝山区月罗路2370号,SHA0150,上海市,310000,上海市,310100,021-60790585,021-60790586,31.416212,121.358934,华东大区
广汽埃安上海松卫凯德龙之梦商超展示中心,上海市闵行区沪闵路6088号凯德龙之梦,SHA0130-2,上海市,310000,上海市,310100,,,31.113930,121.384402,华东大区
广汽埃安上海颛桥万达展示中心,上海市闵行区颛兴东路1570号（颛桥万达）,SHA0600-2,上海市,310000,上海市,310100,021-59200167,021-59200177,31.077149,121.412839,华东大区
广汽埃安上海经伟汇展示中心,上海市宝山区经地路99弄经纬汇一楼三号楼内庭商铺上海市宝山区经地路99弄经纬汇一楼三号楼内庭商铺,SHA0120-1,上海市,310000,上海市,310100,,,31.331042,121.405938,华东大区
广汽埃安上海长宁龙之梦展示中心,上海市长宁区长宁路1018号龙之梦B203-D,SHA0200-1,上海市,310000,上海市,310100,021-60710391,4001867988,31.219198,121.416736,华东大区
广汽埃安上海劲立奉贤展示中心,上海上海市奉贤区沪杭公路1960号,SHA0600-9,上海市,310000,上海市,310100,021-57181608,021-57187738,30.923876,121.441225,华东大区
广汽埃安上海奉贤沪杭体验中心,上海市奉贤区南桥镇沪杭公路1960号二幢,SHA0240,上海市,310000,上海市,310100,021-57181608,021-57187738,30.923876,121.441225,华东大区
广汽埃安上海宝山日月光展示中心,上海市宝山区沪太路1933号日月光中心,SHA0500-4,上海市,310000,上海市,310100,,,31.300017,121.423615,华东大区
广汽埃安上海沪北体验中心,上海市宝山区宝安公路839号,SHA0180,上海市,310000,上海市,310100,021-33856288,021-33856155,31.370527,121.419055,华东大区
广汽埃安上海静安大融城展示中心,上海市静安区沪太路1111弄（静安大融城）,SHA0170-1,上海市,310000,上海市,310100,,,31.286475,121.432472,华东大区
广汽埃安上海晋熙奉贤宝龙展示中心,上海市奉贤区南桥环城东路728号（奉贤宝龙）,SHA0900-4,上海市,310000,上海市,310100,,,30.903429,121.451967,华东大区
广汽埃安上海汶水体验中心,上海市静安区汶水路269号3幢101-1室,SHA0170,上海市,310000,上海市,310100,021-36031702,021-56771666,31.297719,121.447335,华东大区
广汽埃安上海崇明万达展示中心,上海市崇明区城桥镇崇明大道8388号（崇明万达二期）,SHA0600-3,上海市,310000,上海市,310100,021-59200167,021-59200177,31.632266,121.424366,华东大区
